Fecha,Horas
29-04 (4),4
30-04 (8),8
01-05 (0),0
02-05 (5),5
03-05 (6),6
13-05 (5),5
14-05 (9),9
15-05 (7),7
16-05 (5),5
17-05 (8),8
20-05 (0),0
21-05 (0),0
22-05 (6),6
23-05 (10),10
24-05 (5),5
27-05 (5),5
28-05 (0),0
29-05 (0),0
30-05 (5),5
31-05 (8),8
