Fecha,Minutos
29-04 (67 min),67
30-04 (76 min),76
01-05 (63 min),63
02-05 (66 min),66
03-05 (82 min),82
13-05 (65 min),65
14-05 (70 min),70
15-05 (75 min),75
16-05 (73 min),73
17-05 (58 min),58
20-05 (50 min),50
21-05 (42 min),42
22-05 (45 min),45
23-05 (51 min),51
24-05 (58 min),58
27-05 (71 min),71
28-05 (66 min),66
29-05 (68 min),68
30-05 (59 min),59
31-05 (63 min),63
